datetime#topic#title#url#image_url#language#score#source_domain#description#share_url#page_id
2021-03-01 00:00:00#world#Stel met kind kampeert in tentje boven steile afgrond: politie grijpt in#https://www.rtlnieuws.nl/nieuws/opmerkelijk/artikel/5217102/tentje-brits-echtpaar-klif-afgrond-yorkshire-kustwacht-politie#https://www.rtlnieuws.nl/sites/default/files/styles/liggend_hoge_resolutie/public/content/images/2021/03/01/154709452_1857130561106081_8746539789874896467_n.jpg?itok=Vt3GiJi2#nl#0.0#www.rtlnieuws.nl#Het uitzicht is er misschien prachtig, maar de Britse kustwacht en politie hebben geen goed woord over voor het stel dat afgelopen weekend boven een steile afgrond kampeerde.  Niet alleen is de locatie levensgevaarlijk vanwege aardverschuivingen, de coronamaatregelen werden ook nog eens genegeerd. #https://www.rtlnieuws.nl/nieuws/opmerkelijk/artikel/5217102/tentje-brits-echtpaar-klif-afgrond-yorkshire-kustwacht-politie#OwffQSwua
2021-03-02 10:31:08#business#Hogeschool Inholland is gehackt en data tienduizenden studenten wordt aangeboden#https://tweakers.net/nieuws/178686/hogeschool-inholland-is-gehackt-en-data-tienduizenden-studenten-wordt-aangeboden.html#https://tweakers.net/i/MP1hS3cOEhnpR_YieA8W3Z4l_5I=/fit-in/67x67/filters:strip_exif()/i/1322310614.png?f=fpa#nl#-0.4019#tweakers.net#Persoonsgegevens van mogelijk 56. 000 studenten met een Inholland Moodle-account worden op een forum aangeboden.  Het gaat om data die vorige maand is buitgemaakt bij een hack, schrijft de Volkskrant. #https://tweakers.net/nieuws/178686/hogeschool-inholland-is-gehackt-en-data-tienduizenden-studenten-wordt-aangeboden.html#i1kwjXW98
2021-03-02 06:54:52#business#Volvo maakt vanaf 2030 alleen nog elektrische auto’s#https://www.telegraaf.nl/financieel/1137597019/volvo-maakt-vanaf-2030-alleen-nog-elektrische-auto-s#https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/309e5bc6-7b24-11eb-b9ec-0218eaf05005.jpg#nl#0.0#www.telegraaf.nl#De Zweedse autobouwer Volvo Cars wil in 2030 alleen nog maar elektrische modellen op de markt brengen. #https://www.telegraaf.nl/financieel/1137597019/volvo-maakt-vanaf-2030-alleen-nog-elektrische-auto-s#Xs9gIT1hX
2021-03-02 07:40:40#business#FrieslandCampina ziet winst door corana verdampen#https://www.telegraaf.nl/financieel/953528574/friesland-campina-ziet-winst-door-corana-verdampen#https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/6a6f4ee6-7b2e-11eb-b01a-02d2fb1aa1d7.jpg#nl#0.4404#www.telegraaf.nl#De gevolgen van de coronapandemie heeft FrieslandCampina afgelopen jaar hard geraakt.  De zuivelreus zag onder meer horecasluitingen wereldwijd zijn bedrijfsresultaat en winst voor een groot deel verdampen. #https://www.telegraaf.nl/financieel/953528574/friesland-campina-ziet-winst-door-corana-verdampen#VuyGLuf7y
2021-03-01 20:59:45#tech#China gaat de ‘bitcoinmijnen’ in Binnen-Mongolië sluiten#https://www.nrc.nl/nieuws/2021/03/01/china-gaat-de-bitcoinmijnen-in-binnen-mongolie-sluiten-a4033785#https://images.nrc.nl/1bAhLN7OaogsDDM_vDCqan2vBzc=/1200x627/smart/filters:no_upscale()/s3/static.nrc.nl/images/gn4/stripped/data68067132-a74a01.jpg#nl#0.0#www.nrc.nl#Energieverbruik: Op last van de Chinese regering moet de autonome regio Binnen-Mongolië zorgen dat alle activiteiten rond bitcoin stoppen.  Te hoog…#https://www.nrc.nl/nieuws/2021/03/01/china-gaat-de-bitcoinmijnen-in-binnen-mongolie-sluiten-a4033785#S8gkNVJRE
2021-03-02 10:31:15#tech#Hogeschool Inholland is gehackt en data tienduizenden studenten wordt aangeboden#https://tweakers.net/nieuws/178686/hogeschool-inholland-is-gehackt-en-data-tienduizenden-studenten-wordt-aangeboden.html#https://tweakers.net/i/MP1hS3cOEhnpR_YieA8W3Z4l_5I=/fit-in/67x67/filters:strip_exif()/i/1322310614.png?f=fpa#nl#-0.4019#tweakers.net#Persoonsgegevens van mogelijk 56. 000 studenten met een Inholland Moodle-account worden op een forum aangeboden.  Het gaat om data die vorige maand is buitgemaakt bij een hack, schrijft de Volkskrant. #https://tweakers.net/nieuws/178686/hogeschool-inholland-is-gehackt-en-data-tienduizenden-studenten-wordt-aangeboden.html#WmC5irfLY
2021-03-02 00:00:00#tech#Onderzoek legt privacyrisico's bij Google-diensten in het onderwijs bloot#https://www.nu.nl/tech/6119378/onderzoek-legt-privacyrisicos-bij-google-diensten-in-het-onderwijs-bloot.html#https://media.nu.nl/m/oovxxtpas4f9_wd1280.jpg/onderzoek-legt-privacyrisicos-bij-google-diensten-in-het-onderwijs-bloot.jpg#nl#-0.2732#www.nu.nl#Het gebruik van Google Workspace in het onderwijs brengt vermijdbare privacyrisico's voor leerlingen en studenten met zich mee.  Dat blijkt uit onderzoek van de Hogeschool van Amsterdam (HvA) en Rijksuniversiteit Groningen (RUG), schrijven onderwijsministers Ingrid van Engelshoven en Arie Slob in een brief aan de Tweede Kamer. #https://www.nu.nl/tech/6119378/onderzoek-legt-privacyrisicos-bij-google-diensten-in-het-onderwijs-bloot.html#ruE84Irfr
2021-03-02 06:17:42#tech#Apple gaat Samsung achterna met iPhone design#https://www.apparata.nl/nieuws/apple-gaat-samsung-achterna-met-iphone-design-49039#https://www.apparata.nl/files/2021/03/iphone-combo-35935.jpg#nl#0.0#www.apparata.nl#De iPhone krijgt vermoedelijk een kleinere notch en daarmee kiest Apple voor een design die Samsung al jaren toepast op de Galaxy-toestellen. #https://www.apparata.nl/nieuws/apple-gaat-samsung-achterna-met-iphone-design-49039#6b9eF57G1
2021-03-01 09:00:00#tech#Officieel: OPPO Find X3-serie wordt op 11 maart aangekondigd#https://androidworld.nl/nieuws/officiceel-oppo-find-x3-serie-wordt-op-11-maart-aangkondigd#https://newsifier.imgix.net/androidworld.nl/images/2021-03/oppo-find-x3-launch-event-invitation-603c9e19abb2d.jpg?w=1200&h=627&fit=crop#nl#0.0#androidworld.nl#OPPO heeft bekend gemaakt wanneer het zijn nieuwe Find X3-serie gaat onthullen.  In dit artikel vind je alle details over de lancering. #https://androidworld.nl/nieuws/officiceel-oppo-find-x3-serie-wordt-op-11-maart-aangkondigd#j6tSCqDjK
2021-03-02 10:31:26#tech#iPhone krijgt geen usb-c, Apple houdt vast aan Lightning#https://www.iphoned.nl/nieuws/geen-usb-c-iphone/#https://www.iphoned.nl/wp-content/uploads/2020/11/iphone-12-pro-review-12.jpg#nl#0.0#www.iphoned.nl#Volgens een betrouwbare bron krijgt de iPhone nooit een usb-c-poort.  In plaats daarvan houdt Apple vast aan de eigen Lightning-techniek. #https://www.iphoned.nl/nieuws/geen-usb-c-iphone/#seYXyHYNt
2021-03-01 11:33:34#tech#dit moet je weten#https://www.want.nl/oppo-find-x3-aankondiging/#https://www.want.nl/wp-content/uploads/2021/03/Oppo-Find-X3.jpg#nl#0.0#www.want.nl#De Chinese smartphonefabrikant maakt maandagochtend bekend dat de Oppo Find X3 op 11 maart aanstaande gepresenteerd wordt op YouTube. #https://www.want.nl/oppo-find-x3-aankondiging/#NoNUMW8L5
2021-02-28 11:37:00#tech#iOS herinstalleren op een iPhone 13 zonder poorten#https://www.apparata.nl/nieuws/ios-herinstalleren-op-een-iphone-13-zonder-poorten-48940#https://www.apparata.nl/files/2021/02/iphone-opladen-35993.jpg#nl#-0.29600000000000004#www.apparata.nl#Hoe kun je iOS herinstalleren op een iPhone 13 zonder poorten? Een mogelijke oplossing is deze.  Het klinkt in elk geval interessant. #https://www.apparata.nl/nieuws/ios-herinstalleren-op-een-iphone-13-zonder-poorten-48940#ObwzRlZWt
2021-03-02 10:31:35#tech#Gerucht: Apple stapt niet over op USB-C en Touch ID in Power-knop voor iPhones#https://tweakers.net/nieuws/178698/gerucht-apple-stapt-niet-over-op-usb-c-en-touch-id-in-power-knop-voor-iphones.html#https://tweakers.net/i/UeGIGUZklokUpSlEj4jOmXJzOdQ=/67x67/filters:strip_icc():strip_exif()/i/2002272201.jpeg?f=fpa#nl#0.0#tweakers.net#Apple stapt volgens TF Securities-analist Ming-Chi Kuo niet over op USB-C voor iPhones, omdat de inkomsten uit accessoires met de stap verminderen.  Ook zit Touch ID in de Power-knop er voorlopig niet in.  Beide functies zitten wel op iPads. #https://tweakers.net/nieuws/178698/gerucht-apple-stapt-niet-over-op-usb-c-en-touch-id-in-power-knop-voor-iphones.html#IOJApFXjb
2021-03-01 11:06:00#tech#OnePlus Nord ontvangt stabiele Android 11-update en OxygenOS 11#https://androidworld.nl/nieuws/oneplus-nord-ontvangt-stabiele-android-11-update-en-oxygenos-11#https://newsifier.imgix.net/androidworld.nl/images/2020-10/OnePlus_Nord_2-5f9c3c0c5bf1f.jpg?w=1200&h=627&fit=crop#nl#0.29600000000000004#androidworld.nl#OnePlus rolt momenteel Andorid 11 1 uit naar zijn middenklasser: de OnePlus Nord.  In dit artikel bespreken we wat er nieuw is voor de telefoon. #https://androidworld.nl/nieuws/oneplus-nord-ontvangt-stabiele-android-11-update-en-oxygenos-11#iit7su69c
